version:2
grid:
0,-2,2,1,1
1,-2,1,1,1
104,-2,1,4,
2,-2,0,1,1
3,-2,-1,1,1
4,-2,-2,1,1
60,-2,-2,0,0
5,-1,-2,1,1
6,0,-2,1,1
7,1,-2,1,1
8,2,-2,1,1
9,3,-2,1,1
70,3,-2,0,0
10,3,-1,1,1
11,3,0,1,1
110,3,0,10,
12,3,1,1,1
105,3,1,12,
13,3,2,1,1
106,3,2,10,
14,3,3,1,1
69,3,3,0,0
15,2,3,1,1
16,1,3,1,1
17,0,3,1,1
18,-1,3,1,1
19,-2,3,1,1
68,-2,3,0,0
20,-1,2,1,1
21,0,2,1,1
22,1,2,1,1
23,2,2,1,1
107,2,2,10,
24,2,1,1,1
108,2,1,10,
25,1,1,1,1
26,0,1,1,1
27,-1,1,1,1
28,-1,0,1,1
29,0,0,1,1
30,1,0,1,1
31,2,0,1,1
109,2,0,10,
32,2,-1,1,1
33,1,-1,1,1
34,0,-1,1,1
35,-1,-1,1,1
36,-3,4,0,0
37,-2,4,0,0
38,-1,4,0,0
39,0,4,0,0
40,1,4,0,0
41,2,4,0,0
42,3,4,0,0
43,4,4,0,0
44,4,3,0,0
45,4,2,0,0
46,4,1,0,0
47,4,0,0,0
48,4,-1,0,0
49,5,-1,0,0
50,5,-2,0,0
51,5,-3,0,0
52,4,-3,0,0
53,4,-2,0,0
54,3,-3,0,0
55,2,-3,0,0
56,1,-3,0,0
57,0,-3,0,0
58,-1,-3,0,0
59,-2,-3,0,0
61,-3,-2,0,0
62,-3,-3,0,0
63,-3,-1,0,0
64,-3,0,0,0
65,-3,1,0,0
66,-3,2,0,0
67,-3,3,0,0
71,5,0,0,0
72,5,1,0,0
73,5,2,0,0
74,5,3,0,0
75,5,4,0,0
76,5,5,0,0
77,4,5,0,0
78,3,5,0,0
79,2,5,0,0
80,1,5,0,0
81,0,5,0,0
82,-1,5,0,0
83,-2,5,0,0
84,-3,5,0,0
85,-4,5,0,0
86,-4,4,0,0
87,-4,3,0,0
88,-4,2,0,0
89,-4,1,0,0
90,-4,0,0,0
91,-4,-1,0,0
92,-4,-2,0,0
93,-4,-3,0,0
94,-4,-4,0,0
95,-3,-4,0,0
96,-2,-4,0,0
97,-1,-4,0,0
98,0,-4,0,0
99,1,-4,0,0
100,2,-4,0,0
101,3,-4,0,0
102,4,-4,0,0
103,5,-4,0,0
nonGrid:
